date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-11-07,75904.859375,76943.1171875,74480.421875,75637.0859375,63467654989,65977.98203125,3767.376139265446,71629.04624014816,60326.917822351825,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-08,76545.4765625,77252.75,75648.7421875,75902.8359375,55176858003,66250.082421875,4025.9527384871685,72289.01152960576,60211.153314144256,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-09,76778.8671875,76932.765625,75773.7890625,76556.1875,29009480361,66521.800234375,4266.682411185408,72921.82385115311,60121.776617596886,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-10,80474.1875,81474.421875,76565.4296875,76775.546875,82570594495,66863.3871875,4675.34023185436,73876.39753528155,59850.37683971846,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-11,88701.484375,89604.5,80283.25,80471.4140625,117966845037,67364.44265625,5578.927232363544,75732.83350479532,58996.05180770469,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-12,87955.8125,89956.8828125,85155.109375,88705.5625,133673285375,67856.962890625,6260.818216162087,77248.19021486813,58465.73556638187,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-13,90584.1640625,93434.3515625,86256.9296875,87929.96875,123559027869,68382.606796875,7014.22316820184,78903.94154917776,57861.27204457224,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-14,87250.4296875,91765.21875,86682.8125,90574.8828125,87616705248,68864.7525,7461.0369660926135,80056.30794913892,57673.19705086108,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-15,91066.0078125,91868.7421875,87124.8984375,87284.1796875,78243109518,69382.452265625,8073.149948376961,81492.17718819044,57272.72734305957,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-16,90558.4765625,91763.9453125,90094.2265625,91064.3671875,44333192814,69877.808515625,8591.483593064582,82765.03390522188,56990.58312602813,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-17,89845.8515625,91433.0390625,88741.6640625,90558.4609375,46350159305,70356.972578125,9021.728172717934,83889.5648372019,56824.3803190481,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-18,90542.640625,92596.7890625,89393.59375,89843.71875,75535775084,70855.119296875,9433.92372007924,85006.00487699386,56704.233716756135,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-19,92343.7890625,94002.8671875,90426.984375,90536.8125,74521048295,71435.405078125,9844.959680223355,86202.84459846003,56667.96555778997,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-20,94339.4921875,94902.0234375,91619.5,92341.890625,71730956426,72105.454765625,10241.03508070156,87467.00738667735,56743.90214457267,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-11-21,98504.7265625,99014.21875,94132.6015625,94334.640625,106024505582,72862.89359375,10762.439315722322,89006.55256733349,56719.23462016652,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
