date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-10-24,18.38951873779297,18.494656903556635,18.274824214265863,18.399076918592993,1280300,20.23725040435791,1.0984592674919387,21.884939305595815,18.589561503120002,buy,0.52391099346026,4762.619276046753,285,10003.632116317749,0.1746369978200867,0.02,1,0.5
2024-10-25,18.49465560913086,18.676257385547963,18.456422888606646,18.542444686749672,914500,20.213921737670898,1.1230560402857297,21.898505798099492,18.529337677242303,buy,0.9750913526602044,249.92330741882324,529,10033.596124649048,0.525332770336783,0.02,1,0.75
2024-10-28,18.188800811767578,18.44686437854461,18.169684451847374,18.399075301780528,1700300,20.18651050567627,1.1556126273722773,21.919929446734688,18.453091564617853,buy,0.9986356188013944,13.468896865844727,542,9871.798936843872,0.9746831039592945,0.02,1,1.0
2024-10-29,18.51377296447754,18.66670020872107,18.341729358944427,18.47554024189838,1808600,20.16171463012695,1.1781727073557262,21.92897369116054,18.394455569093363,hold,0.9986595356741519,13.468896865844727,542,10047.93384361267,0.9986595356741519,0.02,1,0.9
2024-10-30,18.322612762451172,18.39907638359139,18.083663718508426,18.34172912349536,1611000,20.128101654052735,1.206421189081013,21.937733437674254,18.318469870431215,hold,0.9986455695236501,13.468896865844727,542,9944.32501411438,0.9986455695236501,0.02,1,0.8
2024-10-31,18.265262603759766,18.43730617978203,18.160124457738107,18.313051675749843,954900,20.09796562194824,1.2340008751293008,21.948966934642193,18.246964309254288,hold,0.9986413225951104,13.468896865844727,542,9913.241228103638,0.9986413225951104,0.02,1,0.7000000000000001
2024-11-01,18.1983585357666,18.332169405782526,18.14100945744288,18.265263970774566,1012500,20.06945083618164,1.2613440480729132,21.961466908291012,18.17743476407227,hold,0.9986363343931981,13.468896865844727,542,9876.979223251343,0.9986363343931981,0.02,1,0.6000000000000001
2024-11-04,18.207916259765625,18.38951804202195,18.13145263929504,18.25570716195756,1113400,20.04094223022461,1.2872446335183576,21.971809180502145,18.110075279947072,hold,0.9986370492347669,13.468896865844727,542,9882.159509658813,0.9986370492347669,0.02,1,0.5000000000000001
2024-11-05,18.7431640625,18.8100695048039,18.446865927959063,18.456424108721986,1195100,20.016665077209474,1.300240598544756,21.96702597502661,18.06630417939234,hold,0.9986759194309304,13.468896865844727,542,10172.263818740845,0.9986759194309304,0.02,1,0.40000000000000013
2024-11-06,18.70492935180664,18.73360389104837,18.32261127709879,18.351285816340525,1317600,19.98741767883301,1.313166017828344,21.957166705575524,18.017668652090492,hold,0.9986732164713514,13.468896865844727,542,10151.540605545044,0.9986732164713514,0.02,1,0.30000000000000016
2024-11-07,19.287965774536133,19.421776646446894,18.991669491146702,19.039458567390145,1660900,19.97900665283203,1.3163319062256387,21.95350451217049,18.00450879349357,hold,0.9987132708640801,13.468896865844727,542,10467.546346664429,0.9987132708640801,0.02,1,0.20000000000000015
2024-11-08,19.211502075195312,19.34531294652428,19.15415481934524,19.28796569067421,1320300,19.955494079589844,1.3193892420774587,21.93457794270603,17.976410216473656,hold,0.9987081561693844,13.468896865844727,542,10426.103021621704,0.9987081561693844,0.02,1,0.10000000000000014
2024-11-11,19.43133544921875,19.632053586555774,19.240175492044106,19.460009989705885,1750500,19.93561351776123,1.3196537405760516,21.915094128625306,17.956132906897153,hold,0.9987227525754186,13.468896865844727,542,10545.252710342407,0.9987227525754186,0.02,1,1.3877787807814457e-16
2024-11-12,19.020341873168945,19.383545409162526,18.924761899326615,19.268849075944456,1685100,19.922997016906738,1.3254315220703763,21.911144300012303,17.934849733801173,hold,0.9986951896881548,13.468896865844727,542,10322.494192123413,0.9986951896881548,0.02,1,0.0
2024-11-13,19.192386627197266,19.221061168002528,18.848299429680036,18.924763048790922,973400,19.914012565612794,1.3288958411942524,21.907356327404173,17.920668803821414,hold,0.9987068711681338,13.468896865844727,542,10415.742448806763,0.9987068711681338,0.02,1,0.0
2024-11-14,19.297523498535156,19.460008906175503,19.201943525269712,19.249732600384256,963000,19.904645767211914,1.3316091802307901,21.9020595375581,17.90723199686573,hold,0.9987139073387716,13.468896865844727,542,10472.7266330719,0.9987139073387716,0.02,1,0.0
2024-11-15,19.393104553222656,19.402660910349372,19.22106095635842,19.335755472243605,1294400,19.912674446105957,1.3271951029532687,21.90346710053586,17.921881791676054,hold,0.9987202378763341,13.468896865844727,542,10524.531564712524,0.9987202378763341,0.02,1,0.0
2024-11-18,19.53647232055664,19.622494113312932,19.297523301352793,19.364428735044058,2250100,19.911718597412108,1.3274536361920597,21.902899051700196,17.92053814312402,hold,0.9987296174383072,13.468896865844727,542,10602.236894607544,0.9987296174383072,0.02,1,0.0
2024-11-19,19.14459991455078,19.249736264421934,18.829187218863915,19.10636718875276,1976200,19.913630256652834,1.3262541917775608,21.903011544319174,17.924248968986493,hold,0.9987036475819063,13.468896865844727,542,10389.842050552368,0.9987036475819063,0.02,1,0.0
2024-11-20,18.131452560424805,19.307083226721325,18.09322166187407,19.068134185910598,4506700,19.885338706970217,1.3491461072372408,21.90905786782608,17.861619546114355,hold,0.998631309285507,13.468896865844727,542,9840.716184616089,0.998631309285507,0.02,1,0.0
2024-11-21,17.882946014404297,18.17924414878289,17.701346049117955,18.169685968025203,2685500,19.84768035888672,1.3785082169570197,21.91544268432225,17.77991803345119,hold,0.9986123159602057,13.468896865844727,542,9706.025636672974,0.9986123159602057,0.02,1,0.0
2024-11-22,17.806480407714844,18.074103970006767,17.710902256858642,17.777807691672532,1902500,19.806198806762694,1.408381185709875,21.918770585327508,17.69362702819788,hold,0.9986063651927976,13.468896865844727,542,9664.58127784729,0.9986063651927976,0.02,1,0.0
2024-11-25,17.82559585571289,17.95940854153546,17.749132245115543,17.921175824718645,2047900,19.757835464477537,1.4343292228585172,21.909329298765314,17.60634163018976,hold,0.9986078575898704,13.468896865844727,542,9674.941850662231,0.9986078575898704,0.02,1,0.0
2024-11-26,17.23300552368164,17.796925407281588,17.23300552368164,17.787367226860308,2277300,19.699531936645506,1.4767597352570694,21.91467153953111,17.484392333759903,buy,0.998560055004285,13.468896865844727,542,9353.757890701294,0.998560055004285,0.02,1,1.0
2024-11-27,16.774221420288086,16.99405591658699,16.458808769030863,16.75510688311829,2646300,19.632817344665526,1.532149366770802,21.93104139482173,17.33459329450932,buy,0.9985207299819083,13.468896865844727,542,9105.096906661987,0.9985207299819083,0.02,1,1.0
2024-11-29,16.55438804626465,16.745547994162227,16.420577176558165,16.66908437961047,1553600,19.546413345336916,1.5817069855644617,21.918973823683608,17.173852866990224,buy,0.99850111551524,13.468896865844727,542,8985.947217941284,0.99850111551524,0.02,1,1.0
2024-12-02,16.286766052246094,16.52571507186447,16.124280645984143,16.487482353668085,3328100,19.459435920715332,1.6391180461378605,21.918112989922122,17.000758851508543,buy,0.9984765235652825,13.468896865844727,542,8840.896097183228,0.9984765235652825,0.02,1,1.0
2024-12-03,16.45880889892578,16.630852496066865,16.382345280533794,16.39190346071235,2249300,19.374561195373534,1.6827270533493504,21.89865177539756,16.850470615349508,buy,0.9984924243563938,13.468896865844727,542,8934.143320083618,0.9984924243563938,0.02,1,1.0
2024-12-04,16.114723205566406,16.49704128988426,16.038259588702836,16.49704128988426,3582200,19.262541885375978,1.709906286239693,21.827401314735518,16.697682456016437,buy,0.9984602837791716,13.468896865844727,542,8747.648874282837,0.9984602837791716,0.02,1,1.0
2024-12-05,16.3327579498291,16.491328268541437,16.065169828136796,16.154365868700896,2215200,19.153353996276856,1.7193603500398351,21.73239452133661,16.574313471217103,buy,0.9984808070504237,13.468896865844727,542,8865.823705673218,0.9984808070504237,0.02,1,1.0
2024-12-06,15.837224006652832,16.362489328213037,15.529994274192827,16.35257844777147,3945900,19.01743341445923,1.707230127932118,21.578278606357408,16.456588222561052,buy,0.9984333472002683,13.468896865844727,542,8597.24430847168,0.9984333472002683,0.02,1,1.0
2024-12-09,16.15436553955078,16.38231202207418,15.886779313617932,15.96606447135864,2954100,18.89053190231323,1.6787062614229462,21.40859129444765,16.372472510178813,buy,0.9984640563936811,13.468896865844727,542,8769.135019302368,0.9984640563936811,0.02,1,1.0
2024-12-10,15.936331748962402,16.184098101956412,15.886779234486504,16.154365459086517,1979600,18.756402282714845,1.6402639801035594,21.216798252870184,16.296006312559506,buy,0.9984430750149673,13.468896865844727,542,8650.960704803467,0.9984430750149673,0.02,1,1.0
2024-12-11,15.371424674987793,15.906599011306007,15.302049453858405,15.857046497125388,3003900,18.612886180877684,1.6155537820548749,21.036216853959996,16.189555507795372,buy,0.9983859496430504,13.468896865844727,542,8344.781070709229,0.9983859496430504,0.02,1,1.0
2024-12-12,15.311959266662598,15.500262209966825,15.20294241985469,15.341690962127744,2812700,18.481370735168458,1.6111687846398213,20.89812391212819,16.064617558208724,buy,0.9983796914859858,13.468896865844727,542,8312.550819396973,0.9983796914859858,0.02,1,1.0
2024-12-13,15.014639854431152,15.331781412937412,14.925444765790898,15.31195965202608,2460200,18.34410005569458,1.6082387853992992,20.756458233793527,15.93174187759563,buy,0.9983476592051007,13.468896865844727,542,8151.403697967529,0.9983476592051007,0.02,1,1.0
2024-12-16,14.86598014831543,14.984907876083525,14.578571236587475,14.955176180429893,3091500,18.207297077178954,1.6073396309713233,20.618306523635937,15.796287630721968,buy,0.9983311633826023,13.468896865844727,542,8070.830137252808,0.9983311633826023,0.02,1,1.0
2024-12-17,14.806516647338867,14.945266143474283,14.459644324730753,14.727231491019664,2207600,18.073127994537355,1.605589909074109,20.48151285814852,15.66474313092619,buy,0.9983244725045627,13.468896865844727,542,8038.600919723511,0.9983244725045627,0.02,1,1.0
2024-12-18,14.836249351501465,15.222764253876013,14.816427589762451,14.816427589762451,1744900,17.950258483886717,1.6136677760980784,20.370760148033835,15.5297568197396,buy,0.9983278247439187,13.468896865844727,542,8054.716045379639,0.9983278247439187,0.02,1,1.0
