date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-12-20,97755.9296875,98098.9140625,92175.1796875,97484.6953125,105634083408,99775.16328125,91852.49,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-21,97224.7265625,99507.1015625,96426.5234375,97756.1953125,51765334294,99772.41015625,92407.33515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-22,95104.9375,97360.265625,94202.1875,97218.3203125,43147981314,99734.391796875,92923.6484375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-23,94686.2421875,96416.2109375,92403.1328125,95099.390625,65239002919,99668.595703125,93442.5509375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-24,98676.09375,99404.0625,93448.015625,94684.34375,47114953674,99663.973828125,94059.84265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-25,99299.1953125,99478.75,97593.46875,98675.9140625,33700394629,99799.255078125,94658.6353125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-26,95795.515625,99884.5703125,95137.8828125,99297.6953125,47054980873,99592.9953125,95061.7640625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-27,94164.859375,97294.84375,93310.7421875,95704.9765625,52419934565,99305.071484375,95426.9640625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-28,95163.9296875,95525.8984375,94014.2890625,94160.1875,24107436185,99001.4671875,95799.333125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-29,93530.2265625,95174.875,92881.7890625,95174.0546875,29635885267,98806.342578125,96134.3603125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-30,92643.2109375,94903.3203125,91317.1328125,93527.1953125,56188003691,98604.731640625,96377.74078125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-31,93429.203125,96090.6015625,91914.03125,92643.25,43625106843,98217.540234375,96472.29515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
