date,close,high,low,open,volume,tr,atr,rolling_high,rolling_low,upper_threshold,lower_threshold,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-11-21,98504.7265625,99014.21875,94132.6015625,94334.640625,106024505582,4881.6171875,4150.213169642857,94902.0234375,66803.6484375,101127.34319196429,60578.32868303572,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-22,98997.6640625,99655.5,97222.6640625,98496.4296875,78473580551,2432.8359375,4209.415178571428,99014.21875,66803.6484375,105328.34151785714,60489.525669642855,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-23,97777.28125,99014.6796875,97232.890625,99006.7421875,44414644677,1781.7890625,4253.901785714285,99655.5,66803.6484375,106036.35267857142,60422.79575892857,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-24,98013.8203125,98647.1796875,95788.078125,97778.09375,51712020623,2859.1015625,4107.481026785715,99655.5,66803.6484375,105816.72154017858,60642.42689732143,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-25,93102.296875,98935.03125,92642.9140625,98033.4453125,80909462490,6292.1171875,3891.1143973214284,99655.5,67458.8671875,105492.17159598214,61622.195591517855,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-26,91985.3203125,94991.75,90770.8125,93087.28125,91656519855,4220.9375,3849.6261160714284,99655.5,69322.03125,105429.93917410714,63547.592075892855,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-27,95962.53125,97361.1796875,91778.6640625,91978.140625,71133452438,5582.515625,3735.7042410714284,99655.5,74480.421875,105259.05636160714,68876.86551339286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-28,95652.46875,96650.203125,94677.3515625,95954.9453125,52260008261,1972.8515625,3513.593191964286,99655.5,75648.7421875,104925.88978794643,70378.35239955357,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-29,97461.5234375,98693.171875,95407.8828125,95653.953125,54968682476,3285.2890625,3409.410714285714,99655.5,75773.7890625,104769.61607142857,70659.67299107143,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-30,96449.0546875,97499.34375,96144.21875,97468.8125,31634227866,1355.125,3386.9397321428573,99655.5,76565.4296875,104735.90959821429,71485.02008928571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-01,97279.7890625,97888.125,95770.1875,96461.3359375,36590695296,2117.9375,3345.979910714286,99655.5,80283.25,104674.46986607143,75264.28013392857,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-02,95865.3046875,98152.6015625,94482.8671875,97276.0078125,72680784305,3669.734375,3379.304129464286,99655.5,85155.109375,104724.45619419643,80086.15318080357,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-03,96002.1640625,96297.203125,93629.5625,95854.59375,67067810961,2667.640625,3314.4296875,99655.5,86256.9296875,104627.14453125,81285.28515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-04,98768.53125,99207.328125,94660.5234375,95988.53125,77199817112,4546.8046875,3404.7354910714284,99655.5,86682.8125,104762.60323660714,81575.70926339286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-05,96593.5703125,103900.46875,91998.78125,98741.5390625,149218945580,11901.6875,3906.1690848214284,99655.5,87124.8984375,105514.75362723214,81265.64481026786,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-06,99920.7109375,102039.8828125,96514.875,97074.2265625,94534772658,5525.0078125,4127.038504464285,103900.46875,88741.6640625,110091.02650669642,82551.10630580358,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-07,99923.3359375,100563.3828125,99030.8828125,99916.7109375,44177510897,1532.5,4109.232142857143,103900.46875,88741.6640625,110064.31696428571,82577.81584821429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-08,101236.015625,101399.9921875,98771.515625,99921.9140625,44125751925,2628.4765625,4092.7589285714284,103900.46875,89393.59375,110039.60714285714,83254.45535714286,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-09,97432.71875,101272.5078125,94355.9140625,101237.0625,110676473908,6916.59375,4137.364397321428,103900.46875,90426.984375,110106.51534598214,84220.93777901786,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-10,96675.4296875,98270.15625,94321.2578125,97441.234375,104823780634,3948.8984375,4117.933035714285,103900.46875,90770.8125,110077.36830357142,84593.91294642858,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-11,101173.03125,101913.359375,95747.2265625,96656.0625,85391409936,6166.1328125,4159.619977678572,103900.46875,90770.8125,110139.89871651786,84531.38253348214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-12,100043.0,102524.9140625,99339.953125,101167.8046875,72073983533,3184.9609375,4246.19921875,103900.46875,90770.8125,110269.767578125,84401.513671875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-13,101459.2578125,101888.8046875,99233.28125,100046.6484375,56894751583,2655.5234375,4201.215959821428,103900.46875,90770.8125,110202.29268973214,84468.98856026786,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-14,101372.96875,102618.8828125,100634.0546875,101451.4375,40422968793,1984.828125,4246.194754464285,103900.46875,90770.8125,110269.76088169642,84401.52036830358,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-15,104298.6953125,105047.5390625,101227.03125,101373.53125,51145914137,3820.5078125,4367.806919642857,103900.46875,90770.8125,110452.17912946429,84219.10212053571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-16,106029.71875,107780.578125,103322.984375,104293.578125,91020417816,4457.59375,4424.082589285715,105047.5390625,90770.8125,111683.66294642858,84134.68861607142,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-17,106140.6015625,108268.4453125,105291.734375,106030.6875,68589364868,2976.7109375,4446.159040178572,107780.578125,91778.6640625,114449.81668526786,85109.42550223214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-18,100041.5390625,106470.609375,100041.5390625,106147.296875,93865656139,6429.0703125,4580.606584821428,108268.4453125,91998.78125,115139.35518973214,85127.87137276786,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-19,97490.953125,102748.1484375,95587.6796875,100070.6875,97221662392,7160.46875,4241.948102678572,108268.4453125,91998.78125,114631.36746651786,85635.85909598214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-20,97755.9296875,98098.9140625,92175.1796875,97484.6953125,105634083408,5923.734375,4270.428571428572,108268.4453125,91998.78125,114674.08816964286,85593.13839285714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-21,97224.7265625,99507.1015625,96426.5234375,97756.1953125,51765334294,3080.578125,4381.005580357143,108268.4453125,91998.78125,114839.95368303571,85427.27287946429,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-22,95104.9375,97360.265625,94202.1875,97218.3203125,43147981314,3158.078125,4418.834263392857,108268.4453125,91998.78125,114896.69670758929,85370.52985491071,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-23,94686.2421875,96416.2109375,92403.1328125,95099.390625,65239002919,4013.078125,4211.440290178572,108268.4453125,91998.78125,114585.60574776786,85681.62081473214,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-24,98676.09375,99404.0625,93448.015625,94684.34375,47114953674,5956.046875,4354.808035714285,108268.4453125,91998.78125,114800.65736607142,85466.56919642858,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-25,99299.1953125,99478.75,97593.46875,98675.9140625,33700394629,1885.28125,4049.0329241071427,108268.4453125,91998.78125,114341.99469866071,85925.23186383929,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-26,95795.515625,99884.5703125,95137.8828125,99297.6953125,47054980873,4746.6875,4160.584821428572,108268.4453125,92175.1796875,114509.32254464286,85934.30245535714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-27,94164.859375,97294.84375,93310.7421875,95704.9765625,52419934565,3984.1015625,4255.483258928572,108268.4453125,92175.1796875,114651.67020089286,85791.95479910714,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-28,95163.9296875,95525.8984375,94014.2890625,94160.1875,24107436185,1511.609375,4221.681919642857,108268.4453125,92175.1796875,114600.96819196429,85842.65680803571,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
