date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-10-28,77.5982437133789,78.31610436154033,77.50973592647688,78.00142417962697,6617200,80.56852531433105,81.16891738891601,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-29,77.09671783447266,78.14893037209109,76.90003803616204,77.56873434528377,7241100,80.0409439086914,81.08021347045899,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-30,75.17912292480469,76.81153135320314,75.1496228331581,76.70335934878798,15691300,79.71397094726562,80.94767517089844,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-31,75.84782409667969,76.05433225416364,73.94990721782199,74.93328368349816,13990100,79.46960182189942,80.81989547729492,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-01,76.76236724853516,76.8312033034857,75.68065459821217,75.76916238461561,9623700,79.26358451843262,80.72195907592773,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-04,75.90682983398438,77.24422239311059,75.82815791813769,76.69352648475066,6593800,79.08460960388183,80.59438049316407,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-05,76.68370056152344,76.7033647898272,75.71998831816276,75.96583243607887,5629200,78.94742889404297,80.47783584594727,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-06,74.06790924072266,75.67081005216657,73.87123696415809,75.59214564308061,16193700,78.59685478210449,80.28919937133789,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-07,74.65794372558594,75.10046766188394,73.95974729549884,74.4415996904048,11831100,78.2929916381836,80.16131423950195,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-08,74.61860656738281,75.28730289150302,73.99908206958496,74.24492619606198,8140800,77.98470344543458,80.02343963623046,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-11,75.3266372680664,76.11334145727687,74.83494902545165,74.88412085074,9877200,77.73885917663574,79.89855102539063,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-12,75.38565063476562,76.14284728427266,74.874290622508,75.18897082137126,9013900,77.47039794921875,79.80690048217774,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-13,75.24796295166016,76.00516702260428,75.19879863050508,75.63148667104458,6835300,77.10556488037109,79.71839645385742,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-14,74.42192840576172,75.7003207637831,74.41209254075845,75.40530483421917,6991600,76.72598152160644,79.61710845947266,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-15,75.38565063476562,76.3591913277226,74.35310224650647,74.73661850441582,13584900,76.41818542480469,79.53902862548829,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-18,73.64506530761719,74.93328611869642,73.01570494933671,74.89395766105025,12595100,76.09416313171387,79.4485580444336,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-19,72.68135833740234,73.48772674090755,72.37650653063426,73.26154685218071,12028400,75.72490539550782,79.36634796142579,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-20,72.1405029296875,72.61251946322993,71.50130668388823,72.43551889007716,12290300,75.39596633911133,79.26722366333007,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-21,73.85157775878906,74.3039300736511,71.98316080431181,72.14050465429915,12818600,75.20224151611328,79.2023208618164,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-22,76.11334228515625,76.21167843423537,74.56944148665572,74.86444993389306,12248600,75.13094711303711,79.17065628051758,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-25,77.94242095947266,78.53244533979766,77.10655246213166,77.19505274302523,18328900,75.1481559753418,79.1600358581543,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-26,76.3198471069336,77.5884036314354,76.28051114851102,77.5884036314354,9495600,75.10931243896485,79.10044326782227,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-27,77.03770446777344,77.73590832212541,76.3001721592241,76.3198438888894,8713500,75.20224151611328,79.05009429931641,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-11-29,77.46055603027344,77.86374395708461,76.73285959214178,76.9000317801806,7123500,75.28287811279297,79.00662887573242,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-02,78.17220306396484,78.18208913123865,76.30413601478753,77.01578204130458,11221000,75.35336990356446,78.86843841552735,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-03,77.94487762451172,78.47861215345081,76.70938312442861,78.08325240525222,9414500,75.45527229309081,78.73199493408202,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-04,77.46056365966797,77.59893843642081,76.2052970608761,76.91694307895342,15042600,75.49411544799804,78.56108413696289,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-05,77.66812896728516,77.9844152613544,77.19369575575124,77.3518426732159,8316500,75.67412643432617,78.38370407104492,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-06,77.97452545166016,80.23795219844172,77.92510265710932,78.30069779763237,13931100,75.83995552062989,78.18511413574218,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-09,76.7390365600586,78.52803024777701,76.62042636905319,78.51815172083842,12043400,75.94597702026367,77.96083099365234,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-10,75.84947967529297,77.17393376065584,75.73087702406009,76.60066247682921,12193100,75.972119140625,77.73921096801757,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-11,77.93499755859375,78.06349382264787,75.42447163619416,75.89890487873905,12033200,76.0995864868164,77.54494400024414,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-12,77.0553207397461,78.44896216745224,76.95648268706042,77.79661744617871,6983200,76.1899543762207,77.45167877197265,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-13,76.35356140136719,76.9268326689444,75.87912818730257,76.45239945487978,8037300,76.28653602600097,77.36404586791993,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-16,76.30413818359375,78.103017894704,75.77041118939562,75.86924924236341,13034000,76.33246040344238,77.27247436523437,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-17,77.09485626220703,77.85591755091967,76.35355956737811,76.46228368588848,12452400,76.50494995117188,77.22464492797852,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-18,76.00762176513672,78.08325097919656,75.94831290243111,77.07509080351944,14376900,76.6712631225586,77.15625106811524,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-19,76.2052993774414,77.03555560405715,75.54307613415622,76.04716000242793,27067600,76.87450294494629,77.05876922607422,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-12-20,76.04715728759766,77.0948541748474,73.9912926997954,75.07852631460206,49883400,76.98428192138672,76.9650082397461,buy,0.942984750366211,570.1524963378906,124,10000.0,0.0,0.02,1,1.0
2024-12-23,75.86924743652344,77.5001016646848,74.86107971401208,75.44423703210393,14203800,76.97207717895508,76.86670578002929,hold,0.9428586919462962,570.1524963378906,124,9977.939178466797,0.9428586919462962,0.02,1,0.0
